filename,pred_company,true_company,company_similarity,company_correct,pred_address,true_address,address_similarity,address_correct,pred_date,true_date,normalized_pred_date,normalized_true_date,date_correct,pred_total,true_total,normalized_pred_total,normalized_true_total,total_correct,all_fields_correct,overall_status
X00016469670.jpg,tan chay yee,tan chay yee,1.0,Yes,"NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR","NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR",1.0,Yes,15/01/2019,15/01/2019,2019-01-15,2019-01-15,Yes,193.00,193,193.0,193.0,Yes,Yes,valid
X00016469671.jpg,tan chay yee,tan chay yee,1.0,Yes,"NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR","NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR",1.0,Yes,02/01/2019,2/1/2019,2019-01-02,2019-01-02,Yes,170.00,170,170.0,170.0,Yes,Yes,valid
X51005200931.jpg,PERNIAGAAN ZHENG HU!,PERNIAGAAN ZHENG HUI,0.974,Yes,JALAN PERMAS 95 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,0.942,Yes,09/02/2078,9/2/2018,2078-02-09,2018-02-09,No,436.20,436.2,436.2,436.2,Yes,No,valid_with_warnings
X51005230605.jpg,PETROH BKT LANJAN SB,PETROH BKT LANJAN SB,1.0,Yes,Store No.: Babu,"KM 458.4 BKT LANJAN UTARA,L/RAYA UTARA SELATAN,SG BULOH 4700 SUNGAI BUL",0.143,No,01/02/2018,1/2/2018,2018-02-01,2018-02-01,Yes,5.00,5,5.0,5.0,Yes,No,valid
X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,Gerbang Alaf Restaurants Sdn Bhd,1.0,Yes,"No.3, Jalan $S21/39,47406 Petaling Jaya Selangor","No.3, Jalan $S21/39,47406 Petaling Jaya Selangor",1.0,Yes,18/01/2018,18/01/2018,2018-01-18,2018-01-18,Yes,38.90,38.9,38.9,38.9,Yes,Yes,valid
X51005230621.jpg,SIN LIANHAP SDH BHD,SIN LIANHAP SDH BHD,1.0,Yes,"LOT 13, JALAN LOT 13, JALAN IPGH, 44300 BTG KALI, SELANGOR.","LOT 13, JALAN LOT 13, JALAN IPGH, 44300 BTG KALI, SELANGOR.",1.0,Yes,,,,,No,9.30,9.3,9.3,9.3,Yes,No,needs_review
X51005230648.jpg,CROSS CHANNEL NETWORK SDN BHD,CROSS CHANNEL NETWORK SDN BHD,1.0,Yes,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.","47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",1.0,Yes,29/01/2018,29/01/2018,2018-01-29,2018-01-29,Yes,6.35,6.35,6.35,6.35,Yes,Yes,valid
X51005230657.jpg,CROSS CHANNEL NETWORK SDN BHD,CROSS CHANNEL NETWORK SDN BHD,1.0,Yes,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.","47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",1.0,Yes,31/12/2017,31/12/2017,2017-12-31,2017-12-31,Yes,7.95,7.95,7.95,7.95,Yes,Yes,valid
X51005230659.jpg,SWC ENTERPRISE SDN BAD,SWC ENTERPRISE SDN BAD,1.0,Yes,"ao. S-7, Jalan Maheagoni 7/1, Sekysen 4, Bandar Utama, 44300 Batang Kali, Selangor.","ao. S-7, Jalan Maheagoni 7/1, Sekysen 4, Bandar Utama, 44300 Batang Kali, Selangor.",1.0,Yes,06/01/2018,6/1/2018,2018-01-06,2018-01-06,Yes,8.00,8,8.0,8.0,Yes,Yes,valid
X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,LIGHTROOM GALLERY SDN BHD,1.0,Yes,"No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA","No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA",1.0,Yes,20/11/2017,20/11/2017,2017-11-20,2017-11-20,Yes,263.02,263.02,263.02,263.02,Yes,Yes,valid
