filename,company,address,date,total
X00016469670.jpg,tan chay yee,"NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR",15/01/2019,193
X00016469671.jpg,tan chay yee,"NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR",2/1/2019,170
X51005200931.jpg,PERNIAGAAN ZHENG HUI,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,9/2/2018,436.2
X51005230605.jpg,PETROH BKT LANJAN SB,"KM 458.4 BKT LANJAN UTARA,L/RAYA UTARA SELATAN,SG BULOH 4700 SUNGAI BUL",1/2/2018,5
X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,"No.3, Jalan $S21/39,47406 Petaling Jaya Selangor",18/01/2018,38.9
X51005230621.jpg,SIN LIANHAP SDH BHD,"LOT 13, JALAN LOT 13, JALAN IPGH, 44300 BTG KALI, SELANGOR.",,9.3
X51005230648.jpg,CROSS CHANNEL NETWORK SDN BHD,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",29/01/2018,6.35
X51005230657.jpg,CROSS CHANNEL NETWORK SDN BHD,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",31/12/2017,7.95
X51005230659.jpg,SWC ENTERPRISE SDN BAD,"ao. S-7, Jalan Maheagoni 7/1, Sekysen 4, Bandar Utama, 44300 Batang Kali, Selangor.",6/1/2018,8
X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,"No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA",20/11/2017,263.02
X51005268408.jpg,TANAN BERKELEY,"LOT 2811, JALAN ANGSA, 44150 SELANGOR",20-11-17,169.78
X51005288570.jpg,SECURE PARKING,"Batu 3, Jalan Ipoh 51200 KL",23.03.18,1
X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,"No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA",20/11/2017,263.02
X51005337867.jpg,OLDTOWN WHITE COFFEE,OLD TOWN KOPITIAM SDN BHD (716269-X) SRI RAMPAI,22-Mar-18,30.25
X51005337877.jpg,WA be to,"22A-1, JALAN 17/54, SELANGOR.",20/03/2018,53
X51005361906.jpg,TEQ HENG STATIONERY BOOKS,"NO. 53, JALAN LANGOR",27/01/2018,27.35
X51005361908.jpg,Try da?,NO. 53; 45600 BATANG,15/03/2018,127.2
X51005361912.jpg,SELANGOR DARUL EHSAN’,"NO. 58, JALAN BESAR, 45400 BATANG-BERJUNTAI",29/01/2018,1.05
