filename,company,address,date,total
X00016469670.jpg,tan chay yee,"NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR",15/01/2019,193.00
X00016469671.jpg,tan chay yee,"NO 2 4, JALAN BAYU 4, BANDAR SERI ALAM, 81750 MASAI, JOHOR",02/01/2019,170.00
X51005200931.jpg,PERNIAGAAN ZHENG HU!,JALAN PERMAS 95 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,09/02/2078,436.20
X51005230605.jpg,PETROH BKT LANJAN SB,Store No.: Babu,01/02/2018,5.00
X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,"No.3, Jalan $S21/39,47406 Petaling Jaya Selangor",18/01/2018,38.90
X51005230621.jpg,SIN LIANHAP SDH BHD,"LOT 13, JALAN LOT 13, JALAN IPGH, 44300 BTG KALI, SELANGOR.",,9.30
X51005230648.jpg,CROSS CHANNEL NETWORK SDN BHD,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",29/01/2018,6.35
X51005230657.jpg,CROSS CHANNEL NETWORK SDN BHD,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",31/12/2017,7.95
X51005230659.jpg,SWC ENTERPRISE SDN BAD,"ao. S-7, Jalan Maheagoni 7/1, Sekysen 4, Bandar Utama, 44300 Batang Kali, Selangor.",06/01/2018,8.00
X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,"No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA",20/11/2017,263.02
X51005268408.jpg,TANAN BERKELEY,"LOT 2811, JALAN ANGSA, 44150 SELANGOR",,167.46
X51005288570.jpg,SECURE PARKING,"Batu 3, Jalan Ipoh",,23.03
X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,"No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA",20/11/2017,263.02
X51005337867.jpg,Sy fee,,,30.24
X51005337877.jpg,WA be to,"22A-1, JALAN 17/54, SELANGOR.",20/03/2018,53.00
X51005361906.jpg,TEQ HENG STATIONERY BOOKS,"NO. 53, JALAN LANGOR",27/01/2018,27.35
X51005361908.jpg,Try da?,NO. 53; 45600 BATANG,15/03/2018,127.20
X51005361912.jpg,SELANGOR DARUL EHSAN’,"NO. 58, JALAN BESAR, 45400 BATANG-BERJUNTAI",29/01/2018,1.05
X51005361923.jpg,"Pusat Niaga Ijok Parmai,","4 Ry es BA pt &2 10, Jalan liok Permai dy",2/01/2018,46.00
X51005365187.jpg,F&P PHARMACY,"NO.20, GROUND FLOOR, JALAN BS 10/6 TAMAN BUKIT SERDANG, SELANGOR DARUL EHSAN",02/03/2018,16.46
X51005433518.jpg,UNIHAKKA INTERNATIONAL SDN BHD,"Tampoi,81200 Johar Bahru Johor",07 Mar 2018,8.20
X51005433543.jpg,UNIHAKKA INTERNATIONAL SDN BHD,"42, Jalan Tampoi 7/4 Kawasan Perindustrian Johor Bahru, Johor",,8.20
X51005433548.jpg,Waanet,"379, JALAN PERMAS SATU, BANDAR BARU PERNAS 61750 PLENTONG, JOHOR.",03/03/2018,50.00
X51005433556.jpg,Aeon Tebrau City,"Aeon Tebrau City, i, Jalan Desa Tebrau, Taman Oesa Tebrau, 81100 Johor Bahru, Johor.",11/03/2018,49.70
X51005442322.jpg,RESTAURANT,"TONY ROMA'S AEON TEBRAU CITY LOT G112, AEQH MALL TEBRAU CITY No 1 JALAN TEBRAU 81100 JOHOR BAHRU",,269.40
X51005442334.jpg,UNIHAKKA INTERNATIONAL SDN BHD,"12, Jalan Tampoi 7/4,Kawasan Perindustiian Johor Bahru, Johor",26 Mar 2018,8.20
X51005442343.jpg,YONG TAT HARDWARE,"NO 4,JALAN PERJIRANAN 10, TAMAN AIR BIRU JOHOR",,102.00
X51005442366.jpg,Triple Six Point Enterprise 666,No 14846 Jalan Permas 4/3 Bandar Baru Permas Jayt,,22.60
X51005442375.jpg,UNIHAKKA INTERNATIONAL SDN BHD,"12, Jalan 7/4,Kawasan Tampoi,81 200 Johor Bahiu,Johor",25 Mar 2018,8.50
X51005442382.jpg,UNIHAKKA INTERNATIONAL SDN BHD,"12, Jalan Tampoi 7/4, Kawasan Johor Bahru, Johor",20 Mar 2018,6.60
X51005442388.jpg,CONTENTO,"15, JALAN PERNAS. 10/7, PERHAS 81750 HASAL JOHOR",,30.00
X51005444040.jpg,"Plaza Batai, Damansara Heights","Lot 6, Jalan Batai,",09/03/2018,133.70
X51005444041.jpg,pe ae Grower,"Lot 6, Jalan Batai,",08/03/2018,81.00
X51005444044.jpg,TAMAN BERKELEY,"LOT P.7. 2811, JALAN ANGSA, 41150 KLANG, SELANGOR",,6.00
X51005444046.jpg,"No 4, Desa Pandan, Off kampong Pandan,",,25/03/2018,66.15
X51005447841.jpg,PASARAYA BORONG PINTAR,"BR No.: (124525-H) NO 19-G8&19-1&19-2 JALAN TASIK UTAMA 4,",09/03/2018,10.50
X51005447842.jpg,PASARAYA BORONG PINTAR,"BR No.: (124525-H) NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4,",14/03/2018,5.00
X51005447844.jpg,RESTAURANT JIAWE!,POS No:2,23/2/2018,110.00
X51005447851.jpg,PASARAYA BORONG PINTAR,"BR No.: (124525-H) NO 19-G&19-4&19-2 JALAN TASIK UTAMA 4,",30/01/2018,100.00
X51005447859.jpg,PASARAYA BORONG PINTAR,"BR No.: (124525-H) NO 19-G&19-1819-2 JALAN TASIK UTAMA 4,",14/02/2018,10.00
X51005568855.jpg,CHERAS LEISURE MALL,(Co. No. 113825-W),23/12/2017,66.57
